M,mean_gap,sd_gap,q25_gap,q75_gap,q95_gap,boundary_rate,mean_hhat,mean_hstar,label,model_id,run_tag
3000,1.9808489878772755,0.9088495067255983,1.1889836314192104,2.3929891695229366,3.6198215154918656,0.0,0.36595362517814,0.21983073580376,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
4000,2.032565961801431,1.6432258108335513,1.0639115213827293,2.0764361151735597,4.773346093569441,0.0,0.31133609280998004,0.22631111460130002,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
6000,1.952197318714796,1.0327774863953578,1.194358952519612,2.251394519834512,3.8137990941608804,0.0,0.28595562748479997,0.21192611460128,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
8000,1.9960716988119367,0.9704979279555078,1.0878936383708164,2.5126821086860085,3.92740508731303,0.0,0.25036753236816,0.20809913408596,MM1,mm_1d,mm_1d_adapt_dense_floor81_20260417_192238
1000,1.2976656961008606,0.357442998964759,1.002883136402597,1.4167978706992286,1.7796580833948266,0.05,0.5669848480984,0.50982278276825,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
1500,1.6353861369404243,0.8777439936208391,1.118221549602578,1.8984717874780528,2.9656451135977018,0.2,0.43213607072939997,0.45982103794600004,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
2000,1.4725067844146436,0.4778289762862974,1.1512448631841283,1.7125579741759318,2.1767583907772936,0.0,0.4722792206136,0.38428594346325,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
3000,1.3933809891509177,0.3800680605255983,1.132805506011989,1.5046944389834493,2.0041048475768912,0.0,0.41259144981620005,0.5089874830254,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
4000,1.350359506643589,0.5156583014194132,1.0,1.3979511337198773,2.4806990697726854,0.0,0.3877386360738,0.3278708068444,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
6000,1.6163195222893267,0.768106715706452,1.0,2.015560967259704,3.1655582807550817,0.05,0.44205844122719995,0.3947056274848,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
8000,1.6957546797084748,1.429520231470281,1.0,1.589850103434433,4.043643747157684,0.0,0.3881155300615,0.3586485386505,MM2,mm_2d,mm_2d_adapt_dense_floor81_20260417_192238
