model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
gg_1d,1,1000,10,3605303106,oracle,0.15,0.17871047272988072,0.1466244054143253,0.4237209299878286,0.006947337280794862,1.0,0
gg_1d,1,1000,10,3605303106,lepski,0.15,0.17871047272988072,0.1466244054143253,0.4237209299878286,0.006947337280794862,1.0,0
gg_1d,1,1000,11,1429424934,oracle,0.424264068712,0.07274750483645454,0.06054671535335447,0.38876105500343683,0.006398860585240076,1.0,0
gg_1d,1,1000,11,1429424934,lepski,0.424264068712,0.07274750483645454,0.06054671535335447,0.38876105500343683,0.006398860585240076,1.0,0
gg_1d,1,1000,12,2437408156,oracle,0.106066017178,0.0740111609754619,0.05991843172874731,0.4151639886691191,0.00628252571521957,1.0,0
gg_1d,1,1000,12,2437408156,lepski,0.424264068712,0.09112315457777598,0.12013955792241347,0.3885941497876321,0.006357074907586214,1.2312082850313277,0
gg_1d,1,1000,13,2569716528,oracle,0.3,0.039512606222657176,0.054641735547977605,0.4445393616909829,0.006291929859721515,1.0,0
gg_1d,1,1000,13,2569716528,lepski,0.424264068712,0.07657110820671242,0.0713467541765597,0.42510269325031447,0.006594732383004078,1.937890600666207,0
gg_1d,1,1000,14,915442270,oracle,0.3,0.2854611527989217,0.23262243013311518,0.39317625052204275,0.0050419316594009,1.0,0
gg_1d,1,1000,14,915442270,lepski,0.424264068712,0.30839908672355865,0.2057448415833407,0.38591043837358585,0.0059622566747108835,1.0803539595483747,0
gg_1d,1,1000,15,802017219,oracle,0.424264068712,0.10909282349881266,0.1191911240142943,0.3611842415423838,0.0056672147922613965,1.0,0
gg_1d,1,1000,15,802017219,lepski,0.424264068712,0.10909282349881266,0.1191911240142943,0.3611842415423838,0.0056672147922613965,1.0,0
gg_1d,1,1000,16,984129068,oracle,0.424264068712,0.12129227595542513,0.14444101965512793,0.40176827290808775,0.007121093419242775,1.0,0
gg_1d,1,1000,16,984129068,lepski,0.424264068712,0.12129227595542513,0.14444101965512793,0.40176827290808775,0.007121093419242775,1.0,0
gg_1d,1,1000,17,2889465206,oracle,0.3,0.11237180151941362,0.16293826511788065,0.3908644338822511,0.006773913293331544,1.0,0
gg_1d,1,1000,17,2889465206,lepski,0.3,0.11237180151941362,0.16293826511788065,0.3908644338822511,0.006773913293331544,1.0,0
gg_1d,1,1000,18,2634853374,oracle,0.424264068712,0.04562726338573331,0.048318129621758826,0.43063829323128267,0.006002907923846558,1.0,0
gg_1d,1,1000,18,2634853374,lepski,0.3,0.14786096193370035,0.13455107573950598,0.44154679694617066,0.0052837320307661745,3.240627444247147,0
gg_1d,1,1000,19,4045012504,oracle,0.424264068712,0.1238514368932746,0.114362556468994,0.35639163056169504,0.006154389455946495,1.0,0
gg_1d,1,1000,19,4045012504,lepski,0.424264068712,0.1238514368932746,0.114362556468994,0.35639163056169504,0.006154389455946495,1.0,0
