model_id,dim,M,rep,seed,h,sup_err,ise,f_hat,min_D_hat
gg_1d,1,1000,8,4245388044,0.0375,0.4402457680751293,0.3650279153520969,0.4186789251191897,0.004728259069027445
gg_1d,1,1000,8,4245388044,0.053033008589,0.5406754139297374,0.3786475627409663,0.45000651953542825,0.005095500154352448
gg_1d,1,1000,8,4245388044,0.075,0.5564587973324473,0.4000353405005985,0.4441621798706232,0.005462587801739039
gg_1d,1,1000,8,4245388044,0.106066017178,0.5129397357600669,0.36296720000642246,0.4444098924037991,0.006025994860587198
gg_1d,1,1000,8,4245388044,0.15,0.4265904799211224,0.30792451599265525,0.44000788139404073,0.00627654008841431
gg_1d,1,1000,8,4245388044,0.212132034356,0.3576500433740022,0.25658473272959836,0.4141885727548533,0.006646692482119977
gg_1d,1,1000,8,4245388044,0.3,0.3089064912383366,0.25803093598293175,0.3976251689424403,0.0070011521289271685
gg_1d,1,1000,8,4245388044,0.424264068712,0.38979054379285394,0.3565232967480227,0.40135549632098955,0.007595950918117891
gg_1d,1,1000,8,4245388044,0.6,0.49662843791670985,0.4761970212630096,0.4000326634936718,0.008401945512732597
gg_1d,1,1000,8,4245388044,0.848528137424,0.5941744608926554,0.653582214454253,0.38358196460550714,0.010365707942333963
gg_1d,1,1000,8,4245388044,1.2,0.9050192982041145,1.074284426128393,0.3542718714933776,0.01538974622645917
gg_1d,1,1000,9,1679802727,0.02,1.283992114162536,1.1777065414146806,0.33608922323705404,0.001344183184112108
gg_1d,1,1000,9,1679802727,0.026516504294,1.2947838057727319,1.2165194133530286,0.3383204362349103,0.0012177461843540587
gg_1d,1,1000,9,1679802727,0.0375,0.9399953272771038,1.0001854218626167,0.3397231090399838,0.0016065821082244611
gg_1d,1,1000,9,1679802727,0.053033008589,0.657688380618449,0.7011035288899271,0.3501985732185401,0.0024031849550819233
gg_1d,1,1000,9,1679802727,0.075,0.39014621943888894,0.36490154760075716,0.3436455633704508,0.005474281179535603
gg_1d,1,1000,9,1679802727,0.106066017178,0.39793796319975927,0.3231488339315546,0.3508086973335294,0.005865193929127756
gg_1d,1,1000,9,1679802727,0.15,0.29879442221116914,0.2682504765735533,0.3519952861231611,0.0055686078828256136
gg_1d,1,1000,9,1679802727,0.212132034356,0.1671118242876144,0.2157939858406599,0.3562340151821163,0.005234311200612064
gg_1d,1,1000,9,1679802727,0.3,0.15169037314851508,0.1894116628833276,0.36338776064970335,0.00545627081336359
gg_1d,1,1000,9,1679802727,0.424264068712,0.1218109201580777,0.1444257987246972,0.36047713117693514,0.005903365755280725
gg_1d,1,1000,9,1679802727,0.6,0.2798487387793136,0.2707811168903187,0.3576317467440031,0.007445607970802175
gg_1d,1,1000,9,1679802727,0.848528137424,0.41707575221258253,0.5200329893008754,0.34750309379583905,0.009820179229183618
gg_1d,1,1000,9,1679802727,1.2,0.8276774291303028,0.9944844041397329,0.3300145418463065,0.01569925522516033
gg_1d,1,1000,10,3605303106,0.02,1.0021982955745434,1.0986885098169645,0.2791135827443496,0.011997671515788509
gg_1d,1,1000,10,3605303106,0.026516504294,0.3936881560648243,0.7253910787187036,0.3206376718763935,0.012534024801418351
gg_1d,1,1000,10,3605303106,0.0375,0.43565646120755996,0.6304018164851016,0.3589552303774489,0.01370993713911545
gg_1d,1,1000,10,3605303106,0.053033008589,0.3680644505728994,0.4892572306520896,0.3905886388101692,0.01173374066026624
gg_1d,1,1000,10,3605303106,0.075,0.2798249979408167,0.30900766695064064,0.4211998362711469,0.009090624628130444
gg_1d,1,1000,10,3605303106,0.106066017178,0.19245399133401397,0.21687129463419613,0.43598579154287415,0.007791546841521038
gg_1d,1,1000,10,3605303106,0.15,0.17871047272988072,0.1466244054143253,0.4237209299878286,0.006947337280794862
gg_1d,1,1000,10,3605303106,0.212132034356,0.3108503408739751,0.2090215780531045,0.42000230828341373,0.006580484191104658
gg_1d,1,1000,10,3605303106,0.3,0.4484173693476303,0.3143036204230026,0.4120973892164944,0.006335688095428832
gg_1d,1,1000,10,3605303106,0.424264068712,0.455796276656669,0.3289339116946975,0.40645199598753684,0.006236197881067872
gg_1d,1,1000,10,3605303106,0.6,0.45901013197401896,0.3811007574906619,0.3938219521556742,0.0064945306817134835
gg_1d,1,1000,10,3605303106,0.848528137424,0.5308146237445062,0.5347399685243595,0.37670319195464536,0.008200255443473038
gg_1d,1,1000,10,3605303106,1.2,0.7369701728968083,0.8953500929491406,0.34855887264757335,0.012510554915929938
gg_1d,1,1000,11,1429424934,0.02,0.446022409340526,0.5677181747039174,0.398914784489455,0.004613610711779098
gg_1d,1,1000,11,1429424934,0.026516504294,0.37324630108291734,0.47099156614294413,0.36699977165507996,0.005004639344644836
gg_1d,1,1000,11,1429424934,0.0375,0.250176984678265,0.34907368055082977,0.364670235848311,0.004518526627005491
gg_1d,1,1000,11,1429424934,0.053033008589,0.24695358712015042,0.3830511078127671,0.33995454689222515,0.003989605566439398
gg_1d,1,1000,11,1429424934,0.075,0.2450504923458654,0.284372306168999,0.34012319885376874,0.004325190646433163
gg_1d,1,1000,11,1429424934,0.106066017178,0.3059856072901992,0.2811112866217409,0.3589395051399789,0.004287410140308571
gg_1d,1,1000,11,1429424934,0.15,0.24593946860111426,0.199907709635039,0.37146790696716026,0.0050823415124591
gg_1d,1,1000,11,1429424934,0.212132034356,0.09349677605190054,0.12253861448945116,0.3756217886479344,0.005395497745558762
gg_1d,1,1000,11,1429424934,0.3,0.10703010741489027,0.09016786437610518,0.38280106929045676,0.005532627647602919
gg_1d,1,1000,11,1429424934,0.424264068712,0.07274750483645454,0.06054671535335447,0.38876105500343683,0.006398860585240076
