model_id,dim,M,rep,seed,h,sup_err,ise,f_hat,min_D_hat
mm_1d,1,1000,3,1360466708,0.053033008589,0.6620360930339357,0.5379354973238756,0.30805593043520263,0.21943270479619936
mm_1d,1,1000,3,1360466708,0.075,0.46985211634455615,0.3617025761871973,0.29735546793897466,0.2702737370647194
mm_1d,1,1000,3,1360466708,0.106066017178,0.3350436052025936,0.27313108300158545,0.29526852649316226,0.2787541679310588
mm_1d,1,1000,3,1360466708,0.15,0.22775154875642922,0.20934812662051902,0.2946961357736611,0.27488772922118115
mm_1d,1,1000,3,1360466708,0.212132034356,0.15978054094174238,0.1631796351372122,0.2997068394490601,0.29117760264510584
mm_1d,1,1000,3,1360466708,0.3,0.1571427467030133,0.18516251178389453,0.29585301468343517,0.31296448497314194
mm_1d,1,1000,3,1360466708,0.424264068712,0.21454926344145342,0.22987320782220785,0.2895627103871709,0.29519950504142434
mm_1d,1,1000,3,1360466708,0.6,0.3914173220502397,0.3829458287922752,0.2885009613786258,0.2659291846113347
mm_1d,1,1000,3,1360466708,0.848528137424,0.7208248018509749,0.6432337733050909,0.2764978898380028,0.2722845844795752
mm_1d,1,1000,3,1360466708,1.2,0.9540249492903929,0.8490692153223227,0.24640867381825432,0.266630762940161
mm_1d,1,1000,4,876933080,0.02,0.7245343708409253,0.6770295258033968,0.3335363116113689,0.1863532087909163
mm_1d,1,1000,4,876933080,0.026516504294,0.6969783072331976,0.635680053080873,0.30664551024587194,0.21063523099176518
mm_1d,1,1000,4,876933080,0.0375,0.6110118985169648,0.6382287902920573,0.2682467197346236,0.281168328976307
mm_1d,1,1000,4,876933080,0.053033008589,0.618199476636481,0.6009906469126888,0.2594460096897251,0.3285102158130374
mm_1d,1,1000,4,876933080,0.075,0.5068647109783782,0.47031650817180637,0.28456304250163206,0.2862590695094099
mm_1d,1,1000,4,876933080,0.106066017178,0.2912085408518257,0.270938288160606,0.3145797260430174,0.32199697541550715
mm_1d,1,1000,4,876933080,0.15,0.17212083471409298,0.14282893588316817,0.32351648592098387,0.30091352355694695
mm_1d,1,1000,4,876933080,0.212132034356,0.08253308008756705,0.07435728145377893,0.320674118179517,0.2925998512201441
mm_1d,1,1000,4,876933080,0.3,0.22701043546677568,0.20099571497254576,0.3245887845617324,0.31778419714229095
mm_1d,1,1000,4,876933080,0.424264068712,0.4939493549389,0.43054989234732877,0.3207247453450689,0.3470615261637666
mm_1d,1,1000,4,876933080,0.6,0.6318318624409103,0.6666998529411997,0.31124728472176316,0.40980863469107515
mm_1d,1,1000,4,876933080,0.848528137424,0.7295968109184396,0.9263627038441833,0.2912458814145057,0.5098134492301258
mm_1d,1,1000,4,876933080,1.2,0.9128725802255193,1.1302874289329783,0.25752034661756196,0.5293785369655221
mm_1d,1,1000,5,3424658561,0.02,1.245673954466897,1.0331713535020135,0.16737806846223144,0.21239546256362068
