model_id,dim,M,rep,seed,h,ise
mm_1d,1,1000,27,411878496,0.212132034356,0.30081588692986033
mm_1d,1,1000,27,411878496,0.3,0.28293380011363495
mm_1d,1,1000,27,411878496,0.424264068712,0.27099704067262376
mm_1d,1,1000,27,411878496,0.6,0.3780001691586252
mm_1d,1,1000,27,411878496,0.848528137424,0.586982124467667
mm_1d,1,1000,27,411878496,1.2,0.8461450308863937
mm_1d,1,1000,28,1143809828,0.02,0.5410999329607843
mm_1d,1,1000,28,1143809828,0.026516504294,0.3155741030727679
mm_1d,1,1000,28,1143809828,0.0375,0.3129359889960675
mm_1d,1,1000,28,1143809828,0.053033008589,0.23616217503014783
mm_1d,1,1000,28,1143809828,0.075,0.1748300667212218
mm_1d,1,1000,28,1143809828,0.106066017178,0.1963483337646727
mm_1d,1,1000,28,1143809828,0.15,0.13465384037837905
mm_1d,1,1000,28,1143809828,0.212132034356,0.30704577410170203
mm_1d,1,1000,28,1143809828,0.3,0.398173739543925
mm_1d,1,1000,28,1143809828,0.424264068712,0.41287528457900513
mm_1d,1,1000,28,1143809828,0.6,0.4832099507600106
mm_1d,1,1000,28,1143809828,0.848528137424,0.6977862715990466
mm_1d,1,1000,28,1143809828,1.2,0.9718849204825231
mm_1d,1,1000,29,1897686915,0.02,1.6738388060408709
mm_1d,1,1000,29,1897686915,0.026516504294,1.637332881397406
mm_1d,1,1000,29,1897686915,0.0375,1.443566051385162
mm_1d,1,1000,29,1897686915,0.053033008589,1.1641981709474836
mm_1d,1,1000,29,1897686915,0.075,1.0661999045839066
mm_1d,1,1000,29,1897686915,0.106066017178,0.5361702138414189
mm_1d,1,1000,29,1897686915,0.15,0.4752809472673813
mm_1d,1,1000,29,1897686915,0.212132034356,0.5051162149192203
mm_1d,1,1000,29,1897686915,0.3,0.5067046684760756
mm_1d,1,1000,29,1897686915,0.424264068712,0.5246860903455741
mm_1d,1,1000,29,1897686915,0.6,0.6101809271944466
mm_1d,1,1000,29,1897686915,0.848528137424,0.7916484466452207
mm_1d,1,1000,29,1897686915,1.2,0.981541832928392
mm_1d,1,1000,30,310984977,0.02,2.838557641048387
mm_1d,1,1000,30,310984977,0.026516504294,1.8324857687751896
mm_1d,1,1000,30,310984977,0.0375,1.1616799847482682
mm_1d,1,1000,30,310984977,0.053033008589,1.123333690478261
mm_1d,1,1000,30,310984977,0.075,1.1950686029253093
mm_1d,1,1000,30,310984977,0.106066017178,0.9590920462151686
mm_1d,1,1000,30,310984977,0.15,0.6246719432351208
mm_1d,1,1000,30,310984977,0.212132034356,0.4151048903652147
mm_1d,1,1000,30,310984977,0.3,0.4909169482960899
mm_1d,1,1000,30,310984977,0.424264068712,0.49181020637094036
mm_1d,1,1000,30,310984977,0.6,0.6611731377234611
mm_1d,1,1000,30,310984977,0.848528137424,0.8640225932893933
mm_1d,1,1000,30,310984977,1.2,1.031719128500181
mm_1d,1,1000,31,3807402261,0.02,0.6858893719488058
mm_1d,1,1000,31,3807402261,0.026516504294,0.6595455206044459
mm_1d,1,1000,31,3807402261,0.0375,0.7363139046384283
mm_1d,1,1000,31,3807402261,0.053033008589,0.8170819009512417
mm_1d,1,1000,31,3807402261,0.075,0.3971101343191567
mm_1d,1,1000,31,3807402261,0.106066017178,0.5413201873831917
mm_1d,1,1000,31,3807402261,0.15,0.48772564516722605
mm_1d,1,1000,31,3807402261,0.212132034356,0.3725677286871531
mm_1d,1,1000,31,3807402261,0.3,0.27517963197290457
mm_1d,1,1000,31,3807402261,0.424264068712,0.33639519286625563
mm_1d,1,1000,31,3807402261,0.6,0.4457846929089119
mm_1d,1,1000,31,3807402261,0.848528137424,0.6179855195380443
mm_1d,1,1000,31,3807402261,1.2,0.8222681345992118
mm_1d,1,1000,32,2035922533,0.02,0.5686288780447681
mm_1d,1,1000,32,2035922533,0.026516504294,0.49231034398638407
mm_1d,1,1000,32,2035922533,0.0375,0.549497669633706
mm_1d,1,1000,32,2035922533,0.053033008589,0.4294476441683855
mm_1d,1,1000,32,2035922533,0.075,0.23070297348295965
mm_1d,1,1000,32,2035922533,0.106066017178,0.14342479525591958
mm_1d,1,1000,32,2035922533,0.15,0.12521234562698058
mm_1d,1,1000,32,2035922533,0.212132034356,0.12517789405449842
mm_1d,1,1000,32,2035922533,0.3,0.21666152750681836
mm_1d,1,1000,32,2035922533,0.424264068712,0.3205885596302967
mm_1d,1,1000,32,2035922533,0.6,0.4830285821283635
mm_1d,1,1000,32,2035922533,0.848528137424,0.7052670053061547
mm_1d,1,1000,32,2035922533,1.2,0.9290714315652118
mm_1d,1,1000,33,2995539971,0.02,1.4082425615290328
mm_1d,1,1000,33,2995539971,0.026516504294,0.8989194105090028
