label,model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise,Mh_to_d,f_hat,f_floor_hit,n_kernel_positive,p_kernel_positive,sum_kernel_weights,kernel_weight_ess,min_g1_hat,median_g1_hat,max_g1_hat,min_D_hat,q01_D_hat,median_D_hat,max_D_hat,n_D_floor_grid,p_D_floor_grid
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.212132034356,0.126257195303876,0.0781562569738319,212.132034356,0.3814281262824834,0,159,0.159,381.42812628248345,134.71924866482485,0.0022060888763051,0.151043233950488,0.3780182428773408,0.0057837603582261,0.006899661891138,0.3959939593930897,0.9910602203398676,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.3,0.065037573079163,0.0956884122553456,300.0,0.3711651406021359,0,216,0.216,371.165140602136,183.2456996370747,0.0025161502894414,0.1493028841532964,0.3663198498895235,0.0067790587374653,0.008026184947926,0.4022545972692491,0.98694572797232,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.424264068712,0.4021770266325775,0.3582018770250934,424.264068712,0.3636943667803795,0,308,0.308,363.6943667803795,255.05818727880933,0.0032160815020457,0.151266454182753,0.357067039004791,0.0088428136253973,0.0103309565667745,0.4159164067396644,0.981777755222724,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.6,0.4545541358007705,0.4639170136263512,600.0,0.3596830974751884,0,439,0.439,359.68309747518845,357.4289803596937,0.0035146809953297,0.1533036610827842,0.3504422600951244,0.0097716045596838,0.0113917745616812,0.4262186968442667,0.974308391345241,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.848528137424,0.5613265961489007,0.650212605151699,848.528137424,0.3539899963496102,0,583,0.583,353.98999634961024,495.2547357838624,0.0043443078858478,0.1567100894397042,0.3391693536035131,0.0122724029793126,0.0142449364770766,0.4426963785861705,0.9581325944265952,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,1.2,0.7584891724309268,1.002137599709099,1200.0,0.3384957125702431,0,767,0.767,338.4957125702431,660.1499336390932,0.0057881082548274,0.1624140771698377,0.3166628111262509,0.0170995024157841,0.0196911143804971,0.4798113274067962,0.9355002127553936,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.081,0.5781090719808684,0.5630067126583426,81.0,0.2998143865510485,0,50,0.05,299.8143865510485,41.87371486015737,0.0017688868187499,0.1061573825702456,0.2946961778923363,0.0058999397563889,0.0070841439911635,0.3540770134196698,0.9829287422875528,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.106066017178,0.5548818985334623,0.5513150102821073,106.066017178,0.3212834149739669,0,79,0.079,321.2834149739669,59.99340984807757,0.001790178430223,0.1138189093620973,0.3165503831854901,0.0055719602904746,0.0067016828296172,0.3542632580997681,0.9852683594362932,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.15,0.4965189520691129,0.5115724787270385,150.0,0.3352646079525099,0,104,0.104,335.2646079525099,85.50322061152748,0.0017337775449854,0.119888434046607,0.3311167207282794,0.0051713706244562,0.0062331781436968,0.3575934685703215,0.9876280194036527,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.212132034356,0.3621621150162131,0.3508038258940898,212.132034356,0.3316946037158831,0,141,0.141,331.6946037158831,116.62352957169746,0.0015954759530702,0.123185145281842,0.3305720040917027,0.0048100750967804,0.0057917381252337,0.3713812160397933,0.996615562594012,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.3,0.3583943243181648,0.1695008838968659,300.0,0.3316213556942057,0,201,0.201,331.62135569420576,166.1398253848776,0.0022004224298477,0.1294415506402538,0.3324801652856881,0.0066353459813873,0.0077689089235762,0.3903293573156197,1.0025897294511823,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.424264068712,0.7610841936699737,0.4428175860120617,424.264068712,0.3420646100737991,0,295,0.295,342.06461007379914,245.66785102069343,0.0029211308345152,0.1394538074151556,0.3442192239149407,0.0085397049226608,0.0098402520076251,0.4076826520728612,1.0062988505027652,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.6,0.73132598607625,0.5099504365328175,600.0,0.3506175758661762,0,422,0.422,350.61757586617625,355.8150335111484,0.0033564550097628,0.1471742029969045,0.3496470493857424,0.0095729799097235,0.0110419995968695,0.419757060476278,0.9972319514273174,0,0.0
